date,shop,variety,size,seller_price_per_stem,units_sold
2025-03-17,Horana Anthurium,Flash,Small,88.75,23
2025-03-17,Horana Anthurium,Lady Jane,Large,98.27,28
2025-03-17,Horana Anthurium,Red,Large,93.87,59
2025-03-17,Oscar Anthurium,Baby Pink,Small,81.45,56
2025-03-17,Oscar Anthurium,Black Cardinal,Small,85.14,20
2025-03-17,Oscar Anthurium,Flash,Medium,106.58,22
2025-03-17,Oscar Anthurium,Lady Jane,Large,103.7,36
2025-03-17,Oscar Anthurium,Red,Small,74.81,56
2025-03-24,Anthurium Flower Garden,Baby Pink,Small,84.48,70
2025-03-24,Anthurium Flower Garden,Black Cardinal,Large,120.96,28
2025-03-24,Anthurium Flower Garden,Flash,Small,95.94,28
2025-03-24,Anthurium Flower Garden,Lady Jane,Medium,96.89,40
2025-03-24,Anthurium Flower Garden,Red,Medium,90.06,90
2025-03-24,Horana Anthurium,Baby Pink,Small,77.37,30
2025-03-24,Horana Anthurium,Black Cardinal,Large,106.87,12
2025-03-24,Horana Anthurium,Flash,Medium,101.07,27
2025-03-24,Horana Anthurium,Lady Jane,Small,73.76,36
2025-03-24,Horana Anthurium,Red,Medium,81.75,61
2025-03-24,Oscar Anthurium,Baby Pink,Medium,96.67,50
2025-03-24,Oscar Anthurium,Black Cardinal,Medium,100.28,22
2025-03-24,Oscar Anthurium,Flash,Medium,107.04,25
2025-03-24,Oscar Anthurium,Lady Jane,Medium,91.38,52
2025-03-24,Oscar Anthurium,Red,Medium,84.86,66
2025-03-31,Anthurium Flower Garden,Baby Pink,Small,83.23,47
2025-03-31,Anthurium Flower Garden,Black Cardinal,Small,88.29,18
2025-03-31,Anthurium Flower Garden,Flash,Medium,112.05,45
2025-03-31,Anthurium Flower Garden,Lady Jane,Medium,94.38,54
2025-03-31,Anthurium Flower Garden,Red,Medium,92.52,80
2025-03-31,Horana Anthurium,Baby Pink,Medium,89.06,46
2025-03-31,Horana Anthurium,Black Cardinal,Medium,93.32,16
2025-03-31,Horana Anthurium,Flash,Small,85.56,30
2025-03-31,Horana Anthurium,Lady Jane,Medium,85.75,33
2025-03-31,Horana Anthurium,Red,Medium,80.84,46
2025-03-31,Oscar Anthurium,Baby Pink,Small,79.84,40
2025-03-31,Oscar Anthurium,Black Cardinal,Medium,98.8,10
2025-03-31,Oscar Anthurium,Flash,Large,122.19,35
2025-03-31,Oscar Anthurium,Lady Jane,Small,76.33,34
2025-03-31,Oscar Anthurium,Red,Medium,87.08,76
2025-04-07,Anthurium Flower Garden,Baby Pink,Large,112.88,42
2025-04-07,Anthurium Flower Garden,Black Cardinal,Small,89.76,26
2025-04-07,Anthurium Flower Garden,Flash,Medium,112.75,33
2025-04-07,Anthurium Flower Garden,Lady Jane,Large,109.45,45
2025-04-07,Anthurium Flower Garden,Red,Small,78.36,74
2025-04-07,Horana Anthurium,Baby Pink,Medium,91.79,50
2025-04-07,Horana Anthurium,Black Cardinal,Medium,94.19,18
2025-04-07,Horana Anthurium,Flash,Medium,100.93,32
2025-04-07,Horana Anthurium,Lady Jane,Medium,86.12,34
2025-04-07,Horana Anthurium,Red,Medium,81.11,60
2025-04-07,Oscar Anthurium,Baby Pink,Small,79.55,47
2025-04-07,Oscar Anthurium,Black Cardinal,Small,85.24,14
2025-04-07,Oscar Anthurium,Flash,Medium,109.49,24
2025-04-07,Oscar Anthurium,Lady Jane,Small,75.67,35
2025-04-07,Oscar Anthurium,Red,Medium,87.33,75
2025-04-14,Anthurium Flower Garden,Baby Pink,Medium,101.15,72
2025-04-14,Anthurium Flower Garden,Black Cardinal,Medium,104.75,16
2025-04-14,Anthurium Flower Garden,Flash,Medium,111.78,38
2025-04-14,Anthurium Flower Garden,Lady Jane,Large,111.28,52
2025-04-14,Anthurium Flower Garden,Red,Medium,92.22,126
2025-04-14,Horana Anthurium,Baby Pink,Medium,88.69,28
2025-04-14,Horana Anthurium,Black Cardinal,Medium,93.93,13
2025-04-14,Horana Anthurium,Flash,Large,116.23,30
2025-04-14,Horana Anthurium,Lady Jane,Large,98.42,38
2025-04-14,Horana Anthurium,Red,Small,70.89,54
2025-04-14,Oscar Anthurium,Baby Pink,Small,81.76,24
2025-04-14,Oscar Anthurium,Black Cardinal,Medium,99.12,14
2025-04-14,Oscar Anthurium,Flash,Large,124.66,31
2025-04-14,Oscar Anthurium,Lady Jane,Medium,89.83,33
2025-04-14,Oscar Anthurium,Red,Large,97.41,66
2025-04-21,Anthurium Flower Garden,Baby Pink,Medium,101.08,60
2025-04-21,Anthurium Flower Garden,Black Cardinal,Small,89.59,25
2025-04-21,Anthurium Flower Garden,Flash,Large,129.67,24
2025-04-21,Anthurium Flower Garden,Lady Jane,Large,108.4,45
2025-04-21,Anthurium Flower Garden,Red,Large,105.85,79
2025-04-21,Horana Anthurium,Baby Pink,Small,77.79,40
2025-04-21,Horana Anthurium,Black Cardinal,Medium,95.26,14
2025-04-21,Horana Anthurium,Flash,Large,115.92,21
2025-04-21,Horana Anthurium,Lady Jane,Medium,84.89,23
2025-04-21,Horana Anthurium,Red,Medium,81.02,45
2025-04-21,Oscar Anthurium,Baby Pink,Medium,94.11,36
2025-04-21,Oscar Anthurium,Black Cardinal,Medium,99.67,20
2025-04-21,Oscar Anthurium,Flash,Medium,106.61,18
2025-04-21,Oscar Anthurium,Lady Jane,Large,104.2,36
2025-04-21,Oscar Anthurium,Red,Medium,88.04,72
2025-04-28,Anthurium Flower Garden,Baby Pink,Medium,99.46,52
2025-04-28,Anthurium Flower Garden,Black Cardinal,Small,88.43,18
2025-04-28,Anthurium Flower Garden,Flash,Medium,115.44,34
2025-04-28,Anthurium Flower Garden,Lady Jane,Medium,93.61,48
2025-04-28,Anthurium Flower Garden,Red,Medium,89.74,60
2025-04-28,Horana Anthurium,Baby Pink,Small,77.4,38
2025-04-28,Horana Anthurium,Black Cardinal,Medium,94.74,17
2025-04-28,Horana Anthurium,Flash,Medium,103.2,25
2025-04-28,Horana Anthurium,Lady Jane,Medium,86.68,35
2025-04-28,Horana Anthurium,Red,Medium,82.75,57
2025-04-28,Oscar Anthurium,Baby Pink,Medium,96.24,52
2025-04-28,Oscar Anthurium,Black Cardinal,Large,114.63,14
2025-04-28,Oscar Anthurium,Flash,Medium,106.71,32
2025-04-28,Oscar Anthurium,Lady Jane,Large,102.72,33
2025-04-28,Oscar Anthurium,Red,Large,98.43,62
2025-05-05,Anthurium Flower Garden,Baby Pink,Medium,91.11,44
2025-05-05,Anthurium Flower Garden,Black Cardinal,Medium,94.8,23
2025-05-05,Anthurium Flower Garden,Flash,Small,90.55,38
2025-05-05,Anthurium Flower Garden,Lady Jane,Medium,88.98,42
2025-05-05,Anthurium Flower Garden,Red,Medium,82.79,92
2025-05-05,Horana Anthurium,Baby Pink,Medium,84.06,40
2025-05-05,Horana Anthurium,Black Cardinal,Medium,88.18,10
2025-05-05,Horana Anthurium,Flash,Small,81.77,12
2025-05-05,Horana Anthurium,Lady Jane,Small,68.71,30
2025-05-05,Horana Anthurium,Red,Medium,75.17,69
2025-05-05,Oscar Anthurium,Baby Pink,Medium,88.5,34
2025-05-05,Oscar Anthurium,Black Cardinal,Medium,93.72,16
2025-05-05,Oscar Anthurium,Flash,Medium,98.36,27
2025-05-05,Oscar Anthurium,Lady Jane,Medium,83.49,40
2025-05-05,Oscar Anthurium,Red,Small,68.12,56
2025-05-12,Anthurium Flower Garden,Baby Pink,Small,79.62,70
2025-05-12,Anthurium Flower Garden,Black Cardinal,Medium,95.12,20
2025-05-12,Anthurium Flower Garden,Flash,Medium,105.18,22
2025-05-12,Anthurium Flower Garden,Lady Jane,Medium,86.85,48
2025-05-12,Anthurium Flower Garden,Red,Medium,82.97,72
2025-05-12,Horana Anthurium,Baby Pink,Small,71.91,36
2025-05-12,Horana Anthurium,Black Cardinal,Medium,86.54,12
2025-05-12,Horana Anthurium,Flash,Medium,95.51,30
2025-05-12,Horana Anthurium,Lady Jane,Small,69.04,21
2025-05-12,Horana Anthurium,Red,Small,65.38,60
2025-05-12,Oscar Anthurium,Baby Pink,Medium,89.59,36
2025-05-12,Oscar Anthurium,Black Cardinal,Medium,91.48,24
2025-05-12,Oscar Anthurium,Flash,Small,85.85,26
2025-05-12,Oscar Anthurium,Lady Jane,Medium,83.3,44
2025-05-12,Oscar Anthurium,Red,Small,68.88,52
2025-05-19,Anthurium Flower Garden,Baby Pink,Large,107.25,57
2025-05-19,Anthurium Flower Garden,Black Cardinal,Medium,96.42,24
2025-05-19,Anthurium Flower Garden,Flash,Medium,104.65,32
2025-05-19,Anthurium Flower Garden,Lady Jane,Large,100.28,54
2025-05-19,Anthurium Flower Garden,Red,Small,71.9,101
2025-05-19,Horana Anthurium,Baby Pink,Medium,82.17,43
2025-05-19,Horana Anthurium,Black Cardinal,Medium,85.78,10
2025-05-19,Horana Anthurium,Flash,Medium,93.7,19
2025-05-19,Horana Anthurium,Lady Jane,Large,93.01,31
2025-05-19,Horana Anthurium,Red,Medium,74.5,47
2025-05-19,Oscar Anthurium,Baby Pink,Medium,86.48,41
2025-05-19,Oscar Anthurium,Black Cardinal,Medium,91.75,16
2025-05-19,Oscar Anthurium,Flash,Medium,99.52,22
2025-05-19,Oscar Anthurium,Lady Jane,Medium,82.97,44
2025-05-19,Oscar Anthurium,Red,Medium,81.29,46
2025-05-26,Anthurium Flower Garden,Baby Pink,Medium,91.08,70
2025-05-26,Anthurium Flower Garden,Black Cardinal,Large,110.1,28
2025-05-26,Anthurium Flower Garden,Flash,Medium,106.88,28
2025-05-26,Anthurium Flower Garden,Lady Jane,Medium,87.4,46
2025-05-26,Anthurium Flower Garden,Red,Medium,82.85,72
2025-05-26,Horana Anthurium,Baby Pink,Large,94.98,39
2025-05-26,Horana Anthurium,Black Cardinal,Small,74.1,20
2025-05-26,Horana Anthurium,Flash,Large,109.9,20
2025-05-26,Horana Anthurium,Lady Jane,Medium,78.82,21
2025-05-26,Horana Anthurium,Red,Small,63.34,66
2025-05-26,Oscar Anthurium,Baby Pink,Medium,86.53,38
2025-05-26,Oscar Anthurium,Black Cardinal,Medium,92.52,18
2025-05-26,Oscar Anthurium,Flash,Medium,99.79,24
2025-05-26,Oscar Anthurium,Lady Jane,Medium,84.9,28
2025-05-26,Oscar Anthurium,Red,Large,92.34,44
2025-06-02,Anthurium Flower Garden,Baby Pink,Large,106.63,54
2025-06-02,Anthurium Flower Garden,Black Cardinal,Small,83.5,15
2025-06-02,Anthurium Flower Garden,Flash,Small,88.97,26
2025-06-02,Anthurium Flower Garden,Lady Jane,Small,75.08,37
2025-06-02,Anthurium Flower Garden,Red,Large,96.98,65
2025-06-02,Horana Anthurium,Baby Pink,Small,70.78,26
2025-06-02,Horana Anthurium,Black Cardinal,Medium,86.51,13
2025-06-02,Horana Anthurium,Flash,Medium,94.57,18
2025-06-02,Horana Anthurium,Lady Jane,Large,91.58,26
2025-06-02,Horana Anthurium,Red,Medium,77.1,42
2025-06-02,Oscar Anthurium,Baby Pink,Medium,88.35,38
2025-06-02,Oscar Anthurium,Black Cardinal,Small,77.14,12
2025-06-02,Oscar Anthurium,Flash,Medium,99.72,24
2025-06-02,Oscar Anthurium,Lady Jane,Medium,83.4,26
2025-06-02,Oscar Anthurium,Red,Medium,79.99,45
2025-06-09,Anthurium Flower Garden,Baby Pink,Small,79.7,67
2025-06-09,Anthurium Flower Garden,Black Cardinal,Small,83.66,26
2025-06-09,Anthurium Flower Garden,Flash,Large,118.74,24
2025-06-09,Anthurium Flower Garden,Lady Jane,Medium,88.63,33
2025-06-09,Anthurium Flower Garden,Red,Medium,84.89,60
2025-06-09,Horana Anthurium,Baby Pink,Large,95.93,48
2025-06-09,Horana Anthurium,Black Cardinal,Small,73.67,12
2025-06-09,Horana Anthurium,Flash,Medium,96.36,16
2025-06-09,Horana Anthurium,Lady Jane,Large,92.52,34
2025-06-09,Horana Anthurium,Red,Medium,75.85,42
2025-06-09,Oscar Anthurium,Baby Pink,Medium,87.78,31
2025-06-09,Oscar Anthurium,Black Cardinal,Large,106.43,16
2025-06-09,Oscar Anthurium,Flash,Medium,101.68,20
2025-06-09,Oscar Anthurium,Lady Jane,Medium,83.15,24
2025-06-09,Oscar Anthurium,Red,Medium,78.47,58
2025-06-16,Anthurium Flower Garden,Baby Pink,Small,78.89,48
2025-06-16,Anthurium Flower Garden,Black Cardinal,Small,82.65,25
2025-06-16,Anthurium Flower Garden,Flash,Small,90.55,37
2025-06-16,Anthurium Flower Garden,Lady Jane,Large,100.72,41
2025-06-16,Anthurium Flower Garden,Red,Medium,83.55,84
2025-06-16,Horana Anthurium,Baby Pink,Large,94.87,42
2025-06-16,Horana Anthurium,Black Cardinal,Small,72.8,11
2025-06-16,Horana Anthurium,Flash,Medium,94.25,22
2025-06-16,Horana Anthurium,Lady Jane,Small,69.17,32
2025-06-16,Horana Anthurium,Red,Medium,75.02,64
2025-06-16,Oscar Anthurium,Baby Pink,Medium,87.7,47
2025-06-16,Oscar Anthurium,Black Cardinal,Medium,91.5,10
2025-06-16,Oscar Anthurium,Flash,Small,85.62,24
2025-06-16,Oscar Anthurium,Lady Jane,Large,95.49,26
2025-06-16,Oscar Anthurium,Red,Medium,78.64,76
2025-06-23,Anthurium Flower Garden,Baby Pink,Large,104.29,67
2025-06-23,Anthurium Flower Garden,Black Cardinal,Medium,98.32,18
2025-06-23,Anthurium Flower Garden,Flash,Small,88.88,40
2025-06-23,Anthurium Flower Garden,Lady Jane,Medium,86.45,46
2025-06-23,Anthurium Flower Garden,Red,Medium,84.07,91
2025-06-23,Horana Anthurium,Baby Pink,Medium,83.76,39
2025-06-23,Horana Anthurium,Black Cardinal,Medium,85.71,14
2025-06-23,Horana Anthurium,Flash,Medium,93.6,27
2025-06-23,Horana Anthurium,Lady Jane,Small,67.53,29
2025-06-23,Horana Anthurium,Red,Medium,76.62,54
2025-06-23,Oscar Anthurium,Baby Pink,Medium,86.25,40
2025-06-23,Oscar Anthurium,Black Cardinal,Medium,90.35,18
2025-06-23,Oscar Anthurium,Flash,Small,86.66,16
2025-06-23,Oscar Anthurium,Lady Jane,Medium,82.78,27
2025-06-23,Oscar Anthurium,Red,Large,93.24,40
2025-06-30,Anthurium Flower Garden,Baby Pink,Medium,92.67,54
2025-06-30,Anthurium Flower Garden,Black Cardinal,Small,80.76,16
2025-06-30,Anthurium Flower Garden,Flash,Large,118.44,34
2025-06-30,Anthurium Flower Garden,Lady Jane,Medium,88.76,28
2025-06-30,Anthurium Flower Garden,Red,Medium,84.99,61
2025-06-30,Horana Anthurium,Baby Pink,Large,97.23,36
2025-06-30,Horana Anthurium,Black Cardinal,Small,75.37,14
2025-06-30,Horana Anthurium,Flash,Large,110.56,13
2025-06-30,Horana Anthurium,Lady Jane,Medium,80.51,26
2025-06-30,Horana Anthurium,Red,Large,86.68,62
2025-06-30,Oscar Anthurium,Baby Pink,Large,100.4,40
2025-06-30,Oscar Anthurium,Black Cardinal,Medium,91.92,13
2025-06-30,Oscar Anthurium,Flash,Small,85.08,18
2025-06-30,Oscar Anthurium,Lady Jane,Medium,84.61,33
2025-06-30,Oscar Anthurium,Red,Medium,79.38,60
2025-07-07,Anthurium Flower Garden,Baby Pink,Large,106.09,60
2025-07-07,Anthurium Flower Garden,Black Cardinal,Small,83.28,18
2025-07-07,Anthurium Flower Garden,Flash,Large,118.96,34
2025-07-07,Anthurium Flower Garden,Lady Jane,Medium,88.96,43
2025-07-07,Anthurium Flower Garden,Red,Medium,84.62,76
2025-07-07,Horana Anthurium,Baby Pink,Medium,83.62,28
2025-07-07,Horana Anthurium,Black Cardinal,Small,74.45,10
2025-07-07,Horana Anthurium,Flash,Medium,95.41,26
2025-07-07,Horana Anthurium,Lady Jane,Medium,79.48,24
2025-07-07,Horana Anthurium,Red,Medium,76.24,51
2025-07-07,Oscar Anthurium,Baby Pink,Large,101.16,40
2025-07-07,Oscar Anthurium,Black Cardinal,Large,106.83,12
2025-07-07,Oscar Anthurium,Flash,Medium,98.77,17
2025-07-07,Oscar Anthurium,Lady Jane,Small,72.22,20
2025-07-07,Oscar Anthurium,Red,Large,91.26,30
2025-07-14,Anthurium Flower Garden,Baby Pink,Small,77.2,64
2025-07-14,Anthurium Flower Garden,Black Cardinal,Medium,97.05,18
2025-07-14,Anthurium Flower Garden,Flash,Medium,106.64,30
2025-07-14,Anthurium Flower Garden,Lady Jane,Medium,89.76,46
2025-07-14,Anthurium Flower Garden,Red,Small,71.99,97
2025-07-14,Horana Anthurium,Baby Pink,Medium,85.02,38
2025-07-14,Horana Anthurium,Black Cardinal,Medium,87.37,21
2025-07-14,Horana Anthurium,Flash,Large,108.31,21
2025-07-14,Horana Anthurium,Lady Jane,Small,69.16,32
2025-07-14,Horana Anthurium,Red,Medium,75.57,68
2025-07-14,Oscar Anthurium,Baby Pink,Medium,88.51,50
2025-07-14,Oscar Anthurium,Black Cardinal,Medium,91.61,11
2025-07-14,Oscar Anthurium,Flash,Medium,98.55,20
2025-07-14,Oscar Anthurium,Lady Jane,Medium,83.87,31
2025-07-14,Oscar Anthurium,Red,Large,92.89,70
2025-07-21,Anthurium Flower Garden,Baby Pink,Small,80.04,66
2025-07-21,Anthurium Flower Garden,Black Cardinal,Medium,95.45,21
2025-07-21,Anthurium Flower Garden,Flash,Medium,103.47,34
2025-07-21,Anthurium Flower Garden,Lady Jane,Medium,87.71,46
2025-07-21,Anthurium Flower Garden,Red,Medium,82.56,67
2025-07-21,Horana Anthurium,Baby Pink,Small,70.88,35
2025-07-21,Horana Anthurium,Black Cardinal,Small,74.11,13
2025-07-21,Horana Anthurium,Flash,Medium,94.98,18
2025-07-21,Horana Anthurium,Lady Jane,Small,67.64,24
2025-07-21,Horana Anthurium,Red,Medium,74.74,64
2025-07-21,Oscar Anthurium,Baby Pink,Medium,87.82,42
2025-07-21,Oscar Anthurium,Black Cardinal,Large,106.01,15
2025-07-21,Oscar Anthurium,Flash,Medium,99.37,21
2025-07-21,Oscar Anthurium,Lady Jane,Medium,83.66,34
2025-07-21,Oscar Anthurium,Red,Medium,78.52,67
2025-07-28,Anthurium Flower Garden,Baby Pink,Medium,91.76,48
2025-07-28,Anthurium Flower Garden,Black Cardinal,Large,110.88,26
2025-07-28,Anthurium Flower Garden,Flash,Small,89.34,29
2025-07-28,Anthurium Flower Garden,Lady Jane,Medium,88.52,42
2025-07-28,Anthurium Flower Garden,Red,Medium,83.66,82
2025-07-28,Horana Anthurium,Baby Pink,Medium,84.3,36
2025-07-28,Horana Anthurium,Black Cardinal,Large,101.3,9
2025-07-28,Horana Anthurium,Flash,Medium,95.32,22
2025-07-28,Horana Anthurium,Lady Jane,Medium,80.79,36
2025-07-28,Horana Anthurium,Red,Small,65.64,68
2025-07-28,Oscar Anthurium,Baby Pink,Medium,89.46,34
2025-07-28,Oscar Anthurium,Black Cardinal,Medium,93.45,24
2025-07-28,Oscar Anthurium,Flash,Small,84.79,24
2025-07-28,Oscar Anthurium,Lady Jane,Medium,84.76,38
2025-07-28,Oscar Anthurium,Red,Medium,80.46,58
2025-08-04,Anthurium Flower Garden,Baby Pink,Medium,93.47,58
2025-08-04,Anthurium Flower Garden,Black Cardinal,Large,109.94,19
2025-08-04,Anthurium Flower Garden,Flash,Medium,105.98,27
2025-08-04,Anthurium Flower Garden,Lady Jane,Medium,87.31,42
2025-08-04,Anthurium Flower Garden,Red,Medium,82.75,54
2025-08-04,Horana Anthurium,Baby Pink,Medium,85.04,29
2025-08-04,Horana Anthurium,Black Cardinal,Small,73.83,13
2025-08-04,Horana Anthurium,Flash,Large,109.93,16
2025-08-04,Horana Anthurium,Lady Jane,Medium,80.61,24
2025-08-04,Horana Anthurium,Red,Small,65.5,50
2025-08-04,Oscar Anthurium,Baby Pink,Medium,87.77,64
2025-08-04,Oscar Anthurium,Black Cardinal,Medium,93.13,13
2025-08-04,Oscar Anthurium,Flash,Medium,99.59,16
2025-08-04,Oscar Anthurium,Lady Jane,Small,70.27,34
2025-08-04,Oscar Anthurium,Red,Medium,81.34,77
2025-08-11,Anthurium Flower Garden,Baby Pink,Large,104.75,48
2025-08-11,Anthurium Flower Garden,Black Cardinal,Medium,98.27,24
2025-08-11,Anthurium Flower Garden,Flash,Medium,103.32,25
2025-08-11,Anthurium Flower Garden,Lady Jane,Medium,88.62,48
2025-08-11,Anthurium Flower Garden,Red,Small,70.16,61
2025-08-11,Horana Anthurium,Baby Pink,Large,97.14,30
2025-08-11,Horana Anthurium,Black Cardinal,Medium,85.96,14
2025-08-11,Horana Anthurium,Flash,Medium,96.54,22
2025-08-11,Horana Anthurium,Lady Jane,Medium,78.24,32
2025-08-11,Horana Anthurium,Red,Medium,76.6,58
2025-08-11,Oscar Anthurium,Baby Pink,Medium,88.39,33
2025-08-11,Oscar Anthurium,Black Cardinal,Medium,91.39,20
2025-08-11,Oscar Anthurium,Flash,Medium,100.93,20
2025-08-11,Oscar Anthurium,Lady Jane,Medium,83.93,39
2025-08-11,Oscar Anthurium,Red,Medium,81.16,93
2025-08-18,Anthurium Flower Garden,Baby Pink,Small,79.33,42
2025-08-18,Anthurium Flower Garden,Black Cardinal,Medium,96.07,18
2025-08-18,Anthurium Flower Garden,Flash,Small,88.66,38
2025-08-18,Anthurium Flower Garden,Lady Jane,Small,75.26,38
2025-08-18,Anthurium Flower Garden,Red,Medium,85.2,90
2025-08-18,Horana Anthurium,Baby Pink,Medium,82.35,45
2025-08-18,Horana Anthurium,Black Cardinal,Large,100.24,12
2025-08-18,Horana Anthurium,Flash,Medium,95.18,13
2025-08-18,Horana Anthurium,Lady Jane,Large,93.32,25
2025-08-18,Horana Anthurium,Red,Medium,75.55,69
2025-08-18,Oscar Anthurium,Baby Pink,Large,101.21,45
2025-08-18,Oscar Anthurium,Black Cardinal,Small,78.29,12
2025-08-18,Oscar Anthurium,Flash,Small,84.72,16
2025-08-18,Oscar Anthurium,Lady Jane,Medium,83.98,42
2025-08-18,Oscar Anthurium,Red,Large,92.69,76
2025-08-25,Anthurium Flower Garden,Baby Pink,Medium,93.64,40
2025-08-25,Anthurium Flower Garden,Black Cardinal,Medium,96.52,22
2025-08-25,Anthurium Flower Garden,Flash,Large,118.79,42
2025-08-25,Anthurium Flower Garden,Lady Jane,Small,76.3,40
2025-08-25,Anthurium Flower Garden,Red,Medium,83.97,78
2025-08-25,Horana Anthurium,Baby Pink,Medium,84.96,38
2025-08-25,Horana Anthurium,Black Cardinal,Small,74.05,14
2025-08-25,Horana Anthurium,Flash,Medium,95.85,20
2025-08-25,Horana Anthurium,Lady Jane,Medium,79.32,27
2025-08-25,Horana Anthurium,Red,Large,87.13,61
2025-08-25,Oscar Anthurium,Baby Pink,Medium,87.5,39
2025-08-25,Oscar Anthurium,Black Cardinal,Large,103.83,18
2025-08-25,Oscar Anthurium,Flash,Large,117.21,26
2025-08-25,Oscar Anthurium,Lady Jane,Medium,85.55,36
2025-08-25,Oscar Anthurium,Red,Medium,79.04,44
2025-09-01,Anthurium Flower Garden,Baby Pink,Medium,94.19,55
2025-09-01,Anthurium Flower Garden,Black Cardinal,Medium,98.17,23
2025-09-01,Anthurium Flower Garden,Flash,Small,90.7,27
2025-09-01,Anthurium Flower Garden,Lady Jane,Small,75.14,48
2025-09-01,Anthurium Flower Garden,Red,Large,96.59,89
2025-09-01,Horana Anthurium,Baby Pink,Small,72.35,36
2025-09-01,Horana Anthurium,Black Cardinal,Medium,86.43,12
2025-09-01,Horana Anthurium,Flash,Medium,93.97,24
2025-09-01,Horana Anthurium,Lady Jane,Small,66.57,24
2025-09-01,Horana Anthurium,Red,Small,63.48,54
2025-09-01,Oscar Anthurium,Baby Pink,Small,75.64,38
2025-09-01,Oscar Anthurium,Black Cardinal,Medium,91.04,20
2025-09-01,Oscar Anthurium,Flash,Medium,101.24,20
2025-09-01,Oscar Anthurium,Lady Jane,Medium,84.83,33
2025-09-01,Oscar Anthurium,Red,Medium,80.19,57
2025-09-08,Anthurium Flower Garden,Baby Pink,Medium,93.84,47
2025-09-08,Anthurium Flower Garden,Black Cardinal,Medium,96.27,18
2025-09-08,Anthurium Flower Garden,Flash,Small,89.86,31
2025-09-08,Anthurium Flower Garden,Lady Jane,Small,75.02,34
2025-09-08,Anthurium Flower Garden,Red,Medium,84.26,82
2025-09-08,Horana Anthurium,Baby Pink,Medium,84.69,20
2025-09-08,Horana Anthurium,Black Cardinal,Small,75.39,12
2025-09-08,Horana Anthurium,Flash,Medium,95.36,16
2025-09-08,Horana Anthurium,Lady Jane,Medium,80.74,18
2025-09-08,Horana Anthurium,Red,Large,88.94,50
2025-09-08,Oscar Anthurium,Baby Pink,Large,99.44,36
2025-09-08,Oscar Anthurium,Black Cardinal,Small,77.5,18
2025-09-08,Oscar Anthurium,Flash,Small,84.34,29
2025-09-08,Oscar Anthurium,Lady Jane,Small,70.67,34
2025-09-08,Oscar Anthurium,Red,Large,92.62,64
2025-09-15,Anthurium Flower Garden,Baby Pink,Medium,90.69,67
2025-09-15,Anthurium Flower Garden,Black Cardinal,Medium,98.22,18
2025-09-15,Anthurium Flower Garden,Flash,Small,90.64,27
2025-09-15,Anthurium Flower Garden,Lady Jane,Small,75.12,42
2025-09-15,Anthurium Flower Garden,Red,Large,97.89,70
2025-09-15,Horana Anthurium,Baby Pink,Medium,84.31,34
2025-09-15,Horana Anthurium,Black Cardinal,Medium,88.04,16
2025-09-15,Horana Anthurium,Flash,Large,109.11,10
2025-09-15,Horana Anthurium,Lady Jane,Large,93.1,26
2025-09-15,Horana Anthurium,Red,Large,88.87,46
2025-09-15,Oscar Anthurium,Baby Pink,Large,102.99,48
2025-09-15,Oscar Anthurium,Black Cardinal,Medium,93.43,16
2025-09-15,Oscar Anthurium,Flash,Medium,101.41,26
2025-09-15,Oscar Anthurium,Lady Jane,Medium,83.62,36
2025-09-15,Oscar Anthurium,Red,Medium,81.14,50
2025-09-22,Anthurium Flower Garden,Baby Pink,Large,108.23,60
2025-09-22,Anthurium Flower Garden,Black Cardinal,Medium,98.28,21
2025-09-22,Anthurium Flower Garden,Flash,Medium,106.27,27
2025-09-22,Anthurium Flower Garden,Lady Jane,Medium,88.92,58
2025-09-22,Anthurium Flower Garden,Red,Medium,82.43,82
2025-09-22,Horana Anthurium,Baby Pink,Medium,82.09,34
2025-09-22,Horana Anthurium,Black Cardinal,Small,74.62,12
2025-09-22,Horana Anthurium,Flash,Small,81.99,20
2025-09-22,Horana Anthurium,Lady Jane,Small,67.38,38
2025-09-22,Horana Anthurium,Red,Large,87.66,51
2025-09-22,Oscar Anthurium,Baby Pink,Large,100.79,38
2025-09-22,Oscar Anthurium,Black Cardinal,Small,79.2,16
2025-09-22,Oscar Anthurium,Flash,Large,114.7,27
2025-09-22,Oscar Anthurium,Lady Jane,Small,72.62,42
2025-09-22,Oscar Anthurium,Red,Medium,78.58,72
2025-09-29,Anthurium Flower Garden,Baby Pink,Small,78.18,54
2025-09-29,Anthurium Flower Garden,Black Cardinal,Medium,95.27,21
2025-09-29,Anthurium Flower Garden,Flash,Small,89.03,38
2025-09-29,Anthurium Flower Garden,Lady Jane,Large,100.53,47
2025-09-29,Anthurium Flower Garden,Red,Medium,82.97,78
2025-09-29,Horana Anthurium,Baby Pink,Medium,85.1,35
2025-09-29,Horana Anthurium,Black Cardinal,Medium,86.84,9
2025-09-29,Horana Anthurium,Flash,Medium,93.24,19
2025-09-29,Horana Anthurium,Lady Jane,Small,67.32,30
2025-09-29,Horana Anthurium,Red,Large,88.79,50
2025-09-29,Oscar Anthurium,Baby Pink,Small,74.79,38
2025-09-29,Oscar Anthurium,Black Cardinal,Medium,93.62,18
2025-09-29,Oscar Anthurium,Flash,Small,84.9,24
2025-09-29,Oscar Anthurium,Lady Jane,Medium,85.67,27
